timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1548171016855,7243,HTTP Request Pagina MedioPiccola,200,OK,Thread Group 1-19,text,true,,114344,128,30,30,http://192.168.1.172/FrancoCFA.html,2169,0,899
1548171010483,13884,HTTP Request Pagina Media,200,OK,Thread Group 1-27,text,true,,470258,125,30,30,http://192.168.1.172/Amazon.html,2937,0,1188
1548170983277,41611,HTTP Request Immagine,200,OK,Thread Group 1-17,bin,true,,5266772,138,30,30,http://192.168.1.172/Sample-jpg-image-5mb.jpg,4717,0,1891
1548170991105,35071,HTTP Request Immagine,200,OK,Thread Group 1-23,bin,true,,5266772,138,30,30,http://192.168.1.172/Sample-jpg-image-5mb.jpg,5632,0,3821
1548171003640,22619,HTTP Request Pagina MedioGrande,200,OK,Thread Group 1-24,text,true,,1498246,127,30,30,http://192.168.1.172/Facebook.html,3307,0,1590
1548171017473,9366,HTTP Request Pagina Piccola,200,OK,Thread Group 1-14,text,true,,29275,133,30,30,http://192.168.1.172/Instagramlogin.html,2320,0,1304
1548171018877,8001,HTTP Request Pagina MedioPiccola,200,OK,Thread Group 1-7,text,true,,114344,128,30,30,http://192.168.1.172/FrancoCFA.html,2296,0,951
1548171018902,8048,HTTP Request Pagina MedioPiccola,200,OK,Thread Group 1-8,text,true,,114344,128,30,30,http://192.168.1.172/FrancoCFA.html,2411,0,1025
1548171019243,7949,HTTP Request Pagina MedioPiccola,200,OK,Thread Group 1-10,text,true,,114344,128,30,30,http://192.168.1.172/FrancoCFA.html,2574,0,1147
1548171016146,11388,HTTP Request Pagina Media,200,OK,Thread Group 1-29,text,true,,470258,125,30,30,http://192.168.1.172/Amazon.html,2076,0,959
1548170995282,32623,HTTP Request Immagine,200,OK,Thread Group 1-3,bin,true,,5266772,138,30,30,http://192.168.1.172/Sample-jpg-image-5mb.jpg,5254,0,2968
1548171016962,11713,HTTP Request Pagina MedioPiccola,200,OK,Thread Group 1-28,text,true,,114344,128,30,30,http://192.168.1.172/FrancoCFA.html,2238,0,1066
1548171011316,17679,HTTP Request Pagina Media,200,OK,Thread Group 1-11,text,true,,470258,125,30,30,http://192.168.1.172/Amazon.html,4098,0,1445
1548171012670,17476,HTTP Request Pagina Media,200,OK,Thread Group 1-9,text,true,,470258,125,30,30,http://192.168.1.172/Amazon.html,4195,0,2634
1548171008522,22000,HTTP Request Immagine,200,OK,Thread Group 1-5,bin,true,,5266772,138,30,30,http://192.168.1.172/Sample-jpg-image-5mb.jpg,2076,0,1017
1548171019038,12298,HTTP Request Pagina MedioPiccola,200,OK,Thread Group 1-26,text,true,,114344,128,30,30,http://192.168.1.172/FrancoCFA.html,2568,0,1096
1548171013515,17832,HTTP Request Pagina Media,200,OK,Thread Group 1-22,text,true,,470258,125,30,30,http://192.168.1.172/Amazon.html,3464,0,2406
1548171021734,9636,HTTP Request Pagina Piccola,200,OK,Thread Group 1-6,text,true,,29275,133,30,30,http://192.168.1.172/Instagramlogin.html,4180,0,2334
1548171007202,24181,HTTP Request Pagina MedioGrande,200,OK,Thread Group 1-20,text,true,,1498246,127,30,30,http://192.168.1.172/Facebook.html,3061,0,1965
1548171027905,4117,HTTP Request Pagina Piccola,200,OK,Thread Group 1-3,text,true,,29275,133,30,30,http://192.168.1.172/Instagramlogin.html,2832,0,1257
1548171009947,22442,HTTP Request Pagina MedioGrande,200,OK,Thread Group 1-2,text,true,,1498246,127,30,30,http://192.168.1.172/Facebook.html,2559,0,1096
1548171024101,8723,HTTP Request Pagina Piccola,200,OK,Thread Group 1-19,text,true,,29275,133,30,30,http://192.168.1.172/Instagramlogin.html,3104,0,1828
1548171017882,18519,HTTP Request Pagina Media,200,OK,Thread Group 1-30,text,true,,470258,125,30,30,http://192.168.1.172/Amazon.html,2346,0,1210
1548171027194,10298,HTTP Request Pagina Piccola,200,OK,Thread Group 1-10,text,true,,29275,133,30,30,http://192.168.1.172/Instagramlogin.html,3075,0,1526
1548171027536,10933,HTTP Request Pagina Piccola,200,OK,Thread Group 1-29,text,true,,29275,133,30,30,http://192.168.1.172/Instagramlogin.html,3167,0,1537
1548171009526,29390,HTTP Request Immagine,200,OK,Thread Group 1-25,bin,true,,5266772,138,30,30,http://192.168.1.172/Sample-jpg-image-5mb.jpg,2256,0,1041
1548171009557,29503,HTTP Request Immagine,200,OK,Thread Group 1-18,bin,true,,5266772,138,30,30,http://192.168.1.172/Sample-jpg-image-5mb.jpg,2261,0,1050
1548171016548,23097,HTTP Request Immagine,200,OK,Thread Group 1-16,bin,true,,5266772,138,30,30,http://192.168.1.172/Sample-jpg-image-5mb.jpg,2201,0,888
1548171015270,24453,HTTP Request Pagina MedioGrande,200,OK,Thread Group 1-1,text,true,,1498246,127,30,30,http://192.168.1.172/Facebook.html,2341,0,1475
