 r  b   swpd   free  inact active   si   so    bi    bo   in   cs us sy id wa st
 1  0  62696 159148  96884 166436    0    0     0    14  733  219  0 13 85  2  0
 2  0  62696 159660  96884 166444    0    0     0     0  855  242  0 16 84  0  0
 0  0  62696 158988  96884 166444    0    0     0     0  802  202  0 14 86  0  0
 4  0  62696 159804  96884 166444    0    0     0     0  530  232  0 15 85  0  0
 1  0  62696 161036  96884 166444    0    0     0     0 1099  269  1 19 80  0  0
 0  0  62696 162156  96884 166444    0    0     0    12  754  226  0 15 85  0  0
 4  0  62696 161624  96884 166456    0    0     0     0  703  281  0 18 82  0  0
 1  0  62696 162344  96884 166456    0    0     0     0  658  185  0 12 88  0  0
 0  0  62696 162264  96884 166456    0    0     0     0  783  232  0 12 88  0  0
 1  0  62696 158984  96884 166456    0    0     0     0  833  275  0 13 87  0  0
 1  0  62696 155976  96884 166456    0    0     0     0  929  241  0 18 82  0  0
 2  0  62696 153096  96884 166456    0    0     0    12 1029  196  0 23 77  0  0
 0  0  62696 152616  96884 166464    0    0     0     0  835  201  0 15 85  0  0
 1  0  62696 151448  96884 166464    0    0     0     0 1071  211  0 16 84  0  0
 1  0  62696 152952  96884 166464    0    0     0     4  801  169  0  9 91  0  0
 0  0  62696 155048  96884 166464    0    0     0     0  693  179  0 14 86  0  0
 0  0  62696 156968  96884 166464    0    0     0     0  535  206  0 17 83  0  0
 0  0  62696 156072  96884 166464    0    0     0    12  253  167  1  6 93  0  0
 0  0  62696 156168  96888 166472    0    0     0    12  813  189  0 10 90  0  0
 1  0  62696 156296  96884 166476    0    0     0     0 1008  211  0 17 83  0  0
 1  0  62696 156728  96884 166476    0    0     0     0  761  196  0 13 87  0  0
 0  0  62696 157608  96888 166484    0    0     0     0  772  182  0 15 85  0  0
 0  0  62696 159016  96888 166484    0    0     0    12  800  229  0 17 83  0  0
 1  0  62696 160616  96884 166496    0    0     0    12  610  204  0 15 85  0  0
 0  0  62696 161960  96884 166496    0    0     0     0  941  249  0 20 80  0  0
 0  0  62696 162236  96884 166496    0    0     0     0  953  255  0 17 83  0  0
 2  0  62696 162268  96884 166496    0    0     0     0  367  118  0  5 95  0  0
 1  0  62696 161868  96884 166496    0    0     0     0  651  157  0 11 89  0  0
 0  0  62696 160620  96884 166500    0    0     0    28  825  257  0 18 82  0  0
 0  0  62696 161276  96884 166504    0    0     0     0  901  208  1 21 78  0  0
 0  0  62696 162780  96884 166504    0    0     0    10  851  191  0 18 82  0  0
 2  0  62696 163276  96884 166504    0    0     0     0  823  268  0 18 82  0  0
 0  0  62696 163596  96884 166504    0    0     0     0  638  198  0 12 88  0  0
 1  0  62696 163836  96884 166504    0    0     0    12  752  210  0 10 90  0  0
 0  0  62696 164620  96884 166516    0    0     0     0  600  251  0 12 88  0  0
 1  0  62696 165036  96884 166516    0    0     0     0  756  306  0 22 78  0  0
 4  0  62696 162716  96888 166516    0    0     0     0  803  259  0 19 81  0  0
 1  0  62696 161524  96884 166520    0    0     0     0  995  285  0 20 80  0  0
 1  0  62696 163220  96884 166520    0    0     0    12 1047  284  0 21 79  0  0
 1  0  62696 163652  96884 166528    0    0     0     0  643  215  0 17 83  0  0
